YEAR,MONTH,BENE_GEO_LVL,BENE_STATE_ABRVTN,BENE_STATE_DESC,BENE_COUNTY_DESC,BENE_FIPS_CD,TOT_BENES,ORGNL_MDCR_BENES,MA_AND_OTH_BENES,AGED_TOT_BENES,AGED_ESRD_BENES,AGED_NO_ESRD_BENES,DSBLD_TOT_BENES,DSBLD_ESRD_AND_ESRD_ONLY_BENES,DSBLD_NO_ESRD_BENES,MALE_TOT_BENES,FEMALE_TOT_BENES,WHITE_TOT_BENES,BLACK_TOT_BENES,API_TOT_BENES,HSPNC_TOT_BENES,NATIND_TOT_BENES,OTHR_TOT_BENES,AGE_LT_25_BENES,AGE_25_TO_44_BENES,AGE_45_TO_64_BENES,AGE_65_TO_69_BENES,AGE_70_TO_74_BENES,AGE_75_TO_79_BENES,AGE_80_TO_84_BENES,AGE_85_TO_89_BENES,AGE_90_TO_94_BENES,AGE_GT_94_BENES,DUAL_TOT_BENES,FULL_DUAL_TOT_BENES,PART_DUAL_TOT_BENES,NODUAL_TOT_BENES,A_B_TOT_BENES,A_B_ORGNL_MDCR_BENES,A_B_MA_AND_OTH_BENES,A_TOT_BENES,A_ORGNL_MDCR_BENES,A_MA_AND_OTH_BENES,B_TOT_BENES,B_ORGNL_MDCR_BENES,B_MA_AND_OTH_BENES,PRSCRPTN_DRUG_TOT_BENES,PRSCRPTN_DRUG_PDP_BENES,PRSCRPTN_DRUG_MAPD_BENES,PRSCRPTN_DRUG_DEEMED_ELIGIBLE_FULL_LIS_BENES,PRSCRPTN_DRUG_FULL_LIS_BENES,PRSCRPTN_DRUG_PARTIAL_LIS_BENES,PRSCRPTN_DRUG_NO_LIS_BENES
2013,Year,County,AL,Alabama,Conecuh County,01035,3329.0,2976.0,353.0,2304.0,20.0,2284.0,1025.0,15.0,1010.0,1544.0,1785.0,1924.0,1378.0,*,*,*,13.0,*,*,851.0,730.0,587.0,405.0,276.0,199.0,76.0,31.0,1023.0,421.0,603.0,2306.0,3168.0,2817.0,351.0,3300.0,2949.0,351.0,3197.0,2844.0,353.0,2513.0,2177.0,336.0,1042.0,183.0,61.0,1227.0
2013,Year,County,AL,Alabama,Coosa County,01037,2334.0,2038.0,295.0,1558.0,*,*,775.0,16.0,759.0,1107.0,1227.0,1562.0,751.0,*,*,0.0,*,*,*,624.0,528.0,407.0,267.0,192.0,117.0,31.0,17.0,592.0,214.0,378.0,1742.0,2180.0,1885.0,295.0,2326.0,2031.0,295.0,2188.0,1892.0,295.0,1676.0,1393.0,283.0,606.0,127.0,53.0,889.0
2013,Year,County,AL,Alabama,Covington County,01039,9174.0,8492.0,682.0,7070.0,41.0,7029.0,2104.0,34.0,2070.0,4064.0,5110.0,8163.0,934.0,*,34.0,*,30.0,22.0,368.0,1714.0,2117.0,1727.0,1349.0,950.0,588.0,241.0,98.0,2295.0,972.0,1323.0,6879.0,8678.0,7996.0,682.0,9133.0,8451.0,682.0,8719.0,8037.0,682.0,6388.0,5758.0,630.0,2345.0,365.0,146.0,3533.0
2013,Year,County,AL,Alabama,Crenshaw County,01041,3272.0,2606.0,666.0,2457.0,21.0,2437.0,814.0,15.0,799.0,1475.0,1797.0,2532.0,717.0,*,*,*,13.0,*,*,664.0,809.0,584.0,433.0,297.0,195.0,105.0,34.0,1008.0,437.0,571.0,2263.0,3111.0,2446.0,665.0,3247.0,2582.0,665.0,3136.0,2470.0,666.0,2475.0,1826.0,649.0,1028.0,144.0,54.0,1248.0
2013,Year,County,AL,Alabama,Cullman County,01043,17654.0,13976.0,3678.0,13774.0,45.0,13729.0,3879.0,39.0,3840.0,7985.0,9669.0,17323.0,140.0,24.0,80.0,*,*,50.0,790.0,3040.0,4208.0,3608.0,2648.0,1772.0,1030.0,413.0,95.0,3996.0,1571.0,2425.0,13658.0,16655.0,12976.0,3678.0,17605.0,13927.0,3678.0,16704.0,13025.0,3678.0,13304.0,9865.0,3439.0,4106.0,502.0,310.0,8386.0
2013,Year,County,AL,Alabama,Dale County,01045,9385.0,8529.0,856.0,6959.0,31.0,6927.0,2427.0,53.0,2374.0,4224.0,5161.0,7523.0,1603.0,66.0,119.0,*,*,31.0,487.0,1909.0,2199.0,1812.0,1321.0,889.0,470.0,192.0,76.0,2159.0,1031.0,1129.0,7226.0,8790.0,7934.0,855.0,9352.0,8496.0,855.0,8823.0,7967.0,856.0,5124.0,4322.0,803.0,2205.0,321.0,119.0,2479.0
2013,Year,County,AL,Alabama,Dallas County,01047,9349.0,7604.0,1745.0,6324.0,72.0,6252.0,3025.0,98.0,2926.0,4197.0,5152.0,3550.0,5721.0,11.0,14.0,*,*,41.0,685.0,2299.0,1997.0,1565.0,1180.0,791.0,466.0,232.0,93.0,3791.0,1901.0,1890.0,5558.0,8769.0,7024.0,1744.0,9208.0,7464.0,1744.0,8909.0,7164.0,1745.0,7227.0,5528.0,1699.0,3839.0,423.0,117.0,2848.0
2013,Year,County,AL,Alabama,Dekalb County,01049,14063.0,11697.0,2366.0,10546.0,39.0,10508.0,3517.0,33.0,3484.0,6418.0,7645.0,13644.0,209.0,18.0,113.0,11.0,67.0,39.0,700.0,2778.0,3407.0,2697.0,2029.0,1346.0,694.0,281.0,93.0,3655.0,1408.0,2246.0,10408.0,13253.0,10887.0,2366.0,13999.0,11633.0,2366.0,13317.0,10951.0,2366.0,10135.0,7898.0,2237.0,3748.0,621.0,284.0,5482.0
2013,Year,County,AL,Alabama,Elmore County,01051,14533.0,10660.0,3873.0,11252.0,55.0,11197.0,3282.0,60.0,3221.0,6689.0,7844.0,12190.0,2115.0,52.0,65.0,*,*,40.0,695.0,2546.0,3792.0,2970.0,2026.0,1246.0,758.0,337.0,123.0,2635.0,1144.0,1491.0,11899.0,13490.0,9617.0,3873.0,14486.0,10613.0,3873.0,13537.0,9664.0,3873.0,9245.0,5460.0,3785.0,2708.0,408.0,149.0,5979.0
2013,Year,County,AL,Alabama,Escambia County,01053,8170.0,7351.0,820.0,5986.0,47.0,5940.0,2184.0,56.0,2128.0,3764.0,4406.0,5751.0,2137.0,*,28.0,217.0,*,19.0,399.0,1766.0,1771.0,1556.0,1179.0,795.0,424.0,186.0,75.0,1894.0,811.0,1083.0,6277.0,7726.0,6906.0,820.0,8137.0,7317.0,820.0,7760.0,6940.0,820.0,5793.0,5033.0,760.0,1935.0,404.0,114.0,3339.0
